year,year_ret,spy_year_ret,edge_pp,Strategy_pct,SPY_pct,edge_pp_r
2003,0.18122419328585293,0.09794954900005215,8.327464428580079,18.1,9.8,8.3
2004,0.35203223770405323,0.0267071588504324,32.53250788536208,35.2,2.7,32.5
2005,0.2898710326307774,0.06636005871523576,22.351097391554163,29.0,6.6,22.4
2006,0.2943616256602877,0.19170814749076825,10.265347816951941,29.4,19.2,10.3
2007,-0.0012831948529006265,-0.017193374914227122,1.5910180061326495,-0.1,-1.7,1.6
2008,-0.17450865897793133,-0.2935318464536879,11.902318747575658,-17.5,-29.4,11.9
2009,5.248676603517744,0.09979872158878278,514.8877881928961,524.9,10.0,514.9
2010,0.35960779754204575,0.28887200952876,7.073578801328573,36.0,28.9,7.1
2011,0.3561582791900484,0.08578056398773515,27.037771520231324,35.6,8.6,27.0
2012,-0.0256673855982682,0.3004415937584881,-32.61089793567563,-2.6,30.0,-32.6
2013,0.3731892637162244,0.0948032857889638,27.838597792726063,37.3,9.5,27.8
2014,0.004452193024036211,0.20589780534692448,-20.144561232288826,0.4,20.6,-20.1
2015,-0.1067207977576563,0.10800093916069242,-21.472173691834872,-10.7,10.8,-21.5
2016,1.304729938664983,0.16870509407341783,113.60248445915653,130.5,16.9,113.6
2017,0.2682460687927246,0.20114238810573504,6.7103680686989575,26.8,20.1,6.7
2018,-0.15433805390116195,-0.01057140678672086,-14.376664711444109,-15.4,-1.1,-14.4
2019,0.453534146252057,0.2155948183718508,23.793932788020623,45.4,21.6,23.8
2020,1.1471239886330005,0.11610987881121515,103.10141098217854,114.7,11.6,103.1
2021,0.5800221815591422,0.25185764111631626,32.816454044282594,58.0,25.2,32.8
2022,0.24170997308640607,-0.1564470277526845,39.81570008390906,24.2,-15.6,39.8
2023,0.5743909777153182,0.22232486036609855,35.206611734921964,57.4,22.2,35.2
2024,0.06005306697617652,0.5120904386986389,-45.203737172246235,6.0,51.2,-45.2
2025,0.21017717967035976,0.1601629026607252,5.001427700963457,21.0,16.0,5.0
