year,strategy_pct,spy_pct,qqq_pct,edge_pp
2015,-23.38534733205281,9.64807512902588,9.64807512902588,-33.033422461078686
2016,26.621622433409332,7.097894264822258,7.097894264822258,19.523728168587073
2017,27.499431556520904,32.66360058257833,32.66360058257833,-5.16416902605743
2018,19.492338122720643,-0.1262234607380286,-0.1262234607380286,19.61856158345867
2019,18.015668306828925,38.961555201138374,38.961555201138374,-20.945886894309453
2020,41.87258709640489,48.40607537913107,48.40607537913107,-6.533488282726174
2021,29.27848705009952,27.41977388320329,27.41977388320329,1.858713166896231
2022,12.203423554058613,-32.57701925059426,-32.57701925059426,44.78044280465288
2023,32.1511166861258,54.85559910068098,54.85559910068098,-22.704482414555184
2024,26.36105550412666,25.578243542224133,25.578243542224133,0.7828119619025298
2025,-27.50691574548233,20.772554704515755,20.772554704515755,-48.27947044999809
