year,ret_pct,spy_ret_pct,edge_pp,n_months
2003,7.907447843658155,9.794954900005216,-1.8875070563470606,4
2004,27.472603822247454,2.67071588504324,24.801887937204214,12
2005,21.024144560722036,6.636005871523576,14.38813868919846,12
2006,26.169022950349753,19.170814749076825,6.998208201272927,12
2007,8.80305042340941,-1.7193374914227122,10.522387914832121,12
2008,-17.61769413025882,-29.353184645368792,11.735490515109973,12
2009,624.3570796892592,9.979872158878278,614.3772075303809,12
2010,51.701381207020745,28.887200952876,22.814180254144745,12
2011,21.232047492408903,8.578056398773516,12.653991093635387,12
2012,33.788045512783114,30.04415937584881,3.7438861369343037,12
2013,79.75211659128891,9.48032857889638,70.27178801239253,12
2014,6.870602171416151,20.589780534692448,-13.719178363276296,12
2015,3.2097155861929627,10.800093916069242,-7.5903783298762795,12
2016,35.253260695033696,16.870509407341782,18.382751287691914,12
2017,44.53883644776801,20.114238810573504,24.42459763719451,12
2018,-18.513202082207037,-1.057140678672086,-17.456061403534953,12
2019,44.57824124020351,21.55948183718508,23.018759403018432,12
2020,109.22672117704293,11.610987881121515,97.61573329592142,12
2021,65.4847886527972,25.185764111631627,40.29902454116558,12
2022,22.530802941179996,-15.644702775268449,38.17550571644844,12
2023,89.59272778314364,22.232486036609856,67.36024174653379,12
2024,4.226253926140555,51.20904386986389,-46.98278994372333,12
2025,32.06629441244759,16.01629026607252,16.05000414637507,12
